phrase,df_total,df_Belek,df_Algarve,prev_Belek,prev_Algarve,logodds_B_vs_A,z_B_vs_A,lift_Belek,with_B,without_B,lift_Algarve,with_A,without_A
living room,32,5,27,0.001986,0.010208,-1.6122469551637675,-3.4931955883283234,-0.5055,5,2513,0.1881,27,2618
lobby bar,58,48,10,0.019063,0.003781,1.4572522557299585,4.399189253317079,-0.0598,48,2470,-0.3596,10,2635
local area,10,1,9,0.000397,0.003403,-2.0582549952428835,-2.124179589085122,0.2956,1,2517,0.0754,9,2636
locker room,9,1,8,0.000397,0.003025,-1.9578504570533575,-1.9912079162178047,0.2956,1,2517,-0.1336,8,2637
long weekend,11,1,10,0.000397,0.003781,-2.1465806765845166,-2.245063246106674,-0.7048,1,2517,0.2427,10,2635
lot of restaurant,16,3,13,0.001191,0.004915,-1.412328373017397,-2.3044977968972025,0.2958,3,2515,0.3589,13,2632
lovely place,29,6,23,0.002383,0.008696,-1.299727496901923,-2.9503978645402658,0.2962,6,2512,0.0904,23,2622
lovely stay,13,2,11,0.000794,0.004159,-1.6284622509082016,-2.236631581530092,0.2957,2,2516,0.1971,11,2634
lovely view,29,8,21,0.003177,0.00794,-0.9461256741412951,-2.3457049700686303,-0.2052,8,2510,0.1717,21,2624
luxury resort,14,2,12,0.000794,0.004537,-1.7062078349771799,-2.3688393427670924,-1.2055,2,2516,-0.7617,12,2633
main buffet,41,40,1,0.015886,0.000378,3.0771121662104255,4.0811968300577,0.097,40,2478,0.7421,1,2644
main buffet restaurant,33,31,2,0.012311,0.000756,2.4478032196996464,3.844247760642303,0.1032,31,2487,0.242,2,2643
main pool,99,67,32,0.026608,0.012098,0.6836132661449472,3.2635037359534507,-0.0338,67,2451,0.1182,32,2613
main restaurant,178,161,17,0.06394,0.006427,2.0549114102027968,8.800251165332472,-0.2351,161,2357,-0.1415,17,2628
main road,18,4,14,0.001589,0.005293,-1.2153320986414116,-2.2243184167766428,-0.4553,4,2514,-0.0442,14,2631
many bar,12,10,2,0.003971,0.000756,1.493680693126553,2.027074384209378,0.2967,10,2508,0.7423,2,2643
many year,29,8,21,0.003177,0.00794,-0.9461256741412951,-2.3457049700686303,0.2964,8,2510,-0.2603,21,2624
min drive,15,1,14,0.000397,0.005293,-2.417928630160395,-2.6457586661351993,-1.7052,1,2517,0.2431,14,2631
min walk,25,2,23,0.000794,0.008696,-2.261591864776923,-3.406544744000551,0.2957,2,2516,0.222,23,2622
mini bar,154,133,21,0.05282,0.00794,1.7072478538587967,7.731904728979608,0.0024,133,2385,-0.2603,21,2624
mini disco,18,16,2,0.006354,0.000756,1.9091082974703912,2.7458869710504414,0.0458,16,2502,-0.2584,2,2643
mini golf,39,12,27,0.004766,0.010208,-0.8004422236787603,-2.3695043330389214,0.2132,12,2506,0.1133,27,2618
mini golf course,12,1,11,0.000397,0.004159,-2.2251750291286765,-2.3561490870936175,0.2956,1,2517,0.3797,11,2634
minute drive,36,3,33,0.001191,0.012476,-2.225574156349958,-4.081701928184295,-0.3716,3,2515,0.3829,33,2612
minute walk,107,23,84,0.009134,0.031758,-1.2558348772623198,-5.544402404167416,-0.1845,23,2495,-0.0577,84,2561
montgomerie golf,15,15,0,0.005957,0.0,3.8860757071539513,2.130837305925745,0.1631,15,2503,,0,0
montgomery golf,14,14,0,0.00556,0.0,3.8860562943938497,2.0585741287446986,0.1535,14,2504,,0,0
most part,9,1,8,0.000397,0.003025,-1.9578504570533575,-1.9912079162178047,-1.7052,1,2517,0.2425,8,2637
most people,30,9,21,0.003574,0.00794,-0.8348369863999521,-2.1534632224511547,0.2965,9,2509,-0.3563,21,2624
mountain view,18,3,15,0.001191,0.005671,-1.5426397888388923,-2.5640239435728995,-0.0379,3,2515,-0.662,15,2630
near beach,13,0,13,0.0,0.004915,-3.9349163606234043,-2.0086329687546978,,0,0,0.2816,13,2632
